550e8400-e29b-41d4-a716-446655440000;9780451524935;5;Una obra maestra distopica que te hace pensar.
a3b856c2-4014-41d7-b827-02456e789012;9788437604947;4;Un poco confuso con tantos nombres iguales pero muy bueno.
8f14e45f-ea32-478a-8a19-93e506842145;9780679783268;5;Un clasico romantico que nunca pasa de moda.
6ba7b810-9dad-11d1-80b4-00c04fd430c8;9780345339683;5;Excelente introduccion al mundo de la Tierra Media.
f47ac10b-58cc-4372-a567-0e02b2c3d479;9780307474728;3;Entretenido pero con muchos huecos argumentales.
d290f1ee-6c54-4b01-90e6-d701748f0851;9781400032716;4;Un viaje espiritual muy bonito y facil de leer.
c943e8ea-1e30-4e3f-8461-8cf3c41ea47b;9780061120084;5;Lectura obligatoria para entender la empatia y la justicia.
123e4567-e89b-12d3-a456-426614174000;9788445070873;5;La mejor novela de fantasia de todos los tiempos.
7b31498b-7f12-4299-8d75-4309bcf7828c;9788497592208;4;El mundo es increible aunque el inicio es un poco lento.
9ab55e2d-862d-486c-94cc-1910e5bd73b2;9780439136358;5;Mi libro favorito de toda la saga de magia.
21f10911-29f5-4eed-83c0-00fbc216cd5a;9780451524935;2;No me gusto del todo
