9780307474278,1984,George Orwell,1949,Ciencia Ficcion,true
9788497592208,Don Quijote de la Mancha,Miguel de Cervantes,1605,Clasico,false
9786070712340,El laberinto de la soledad,Octavio Paz,1950,Ensayo,true
9780307743657,El gran Gatsby,F. Scott Fitzgerald,1925,Novela,false
9786073112341,Pedro Paramo,Juan Rulfo,1955,Novela,true
9788499890949,Harry Potter y la piedra filosofal,J.K. Rowling,1997,Fantasia,true
9780307887443,Los juegos del hambre,Suzanne Collins,2008,Ciencia Ficcion,false
9786070715678,La sombra del viento,Carlos Ruiz Zafon,2001,Misterio,true
9780307277671,El codigo Da Vinci,Dan Brown,2003,Suspenso,true
9786071515678,Bajo la misma estrella,John Green,2012,Romance,false
9788491050299,El alquimista,Paulo Coelho,1988,Ficcion,true
9780307346605,Orgullo y prejuicio,Jane Austen,1813,Romance,true
9786070718901,Rayuela,Julio Cortazar,1963,Novela,false
9780307389732,It (Eso),Stephen King,1986,Terror,true
