9780451524935;1984;George Orwell;1949;Ciencia Ficcion;true
9788437604947;Cien Anos de Soledad;Gabriel Garcia Marquez;1967;Realismo Magico;false
9780679783268;Orgullo y Prejuicio;Jane Austen;1813;Romance;true
9780345339683;El Hobbit;J.R.R. Tolkien;1937;Fantasia;true
9780307474728;El Codigo Da Vinci;Dan Brown;2003;Suspenso;false
9781400032716;El Alquimista;Paulo Coelho;1988;Ficcion;true
9780061120084;Matar a un Ruisenor;Harper Lee;1960;Drama;true
9788445070873;El Senor de los Anillos;J.R.R. Tolkien;1954;Fantasia;false
9788497592208;Dune;Frank Herbert;1965;Ciencia Ficcion;true
9780439136358;Harry Potter y el Prisionero de Azkaban;J.K. Rowling;1999;Fantasia;true
